feature,coefficient
log_train_interactions,2.8158393666258013
genre_Thriller,0.1919507922855725
genre_Action,0.17412333521054613
genre_Romance,0.16194792151075685
has_us_origin,0.11270217482082794
genre_Horror,0.11218674003103508
genre_Adventure,0.09343050091495514
genre_Fantasy,0.08785631490341489
genre_Western,0.07718666951462268
genre_Animation,0.06386331373493774
has_us_company_involvement,0.059030926387757476
is_european_wide,0.05634424978234346
genre_Crime,0.04387514758319192
genre_Mystery,0.034586881208767795
is_spanish_language,0.02504945665883628
genre_IMAX,0.02332649474842584
has_clip_matrix,0.02306598196688393
has_mpnet_matrix,0.02306598196688393
is_coproduction,0.012228833846926456
genre_Drama,-0.004680314183487448
genre_Film-Noir,-0.023261812242288
genre_Sci-Fi,-0.030004910186481062
genre_Musical,-0.06987201094325624
genre_Children,-0.08451682916252443
is_spain_origin,-0.09142169827341619
genre_War,-0.1091034009977707
is_non_english,-0.13197403306587957
release_year,-0.14034457107192116
genre_Comedy,-0.154325820091008
genre_Documentary,-0.6196959179956256
