Question,Short answer,Evidence in notebook section,Confidence,Main caveat
Does the algorithm hide Europe?,Model-dependent. Worst Europe PACPG@20 is Popularity (-10.3%); highest Europe exposure is CLIP-image-content (32.8%).,"11, 12",moderate,Offline sampled audit with proxy metadata.
Is catalogue diversity enough?,"No. The visibility funnel shows catalogue share, train interactions, user history, relevant test share and ranked exposure are different layers.","6, 8, 11",strong,Catalogue and metadata coverage still matter.
Which Europe gets recommended?,Visibility concentrates unevenly: strongest region is UK/Ireland (13.8%); weakest region by PACPG is France (-1.7%).,12,moderate,Low-support regions are not overclaimed.
Does the recommender show local Europe or globally compatible Europe?,Platform-compatible Europe has mean Exposure@20=18.1% and mean PACPG@20=-1.4%; Local Europe has mean Exposure@20=0.6% and mean PACPG@20=-0.4%; the stricter local non-English/no-US subset has mean Exposure@20=0.8%.,21,exploratory/moderate,"DNA scores are transparent proxies; TMDb provider data and LUMIERE admissions are documented next layers, not included as fake data."
Which European countries are most visible?,United Kingdom has the highest mean Exposure@20 among support-passing European countries (13.8%).,12,moderate,Fractional/binary country counting can differ.
Which European countries are least visible?,France has the lowest mean PACPG@20 among support-passing European countries (-1.7%).,12,moderate,Low support limits claims.
Which languages are most visible?,English has the highest mean language Exposure@20 (97.8%).,13,moderate,Original-language metadata is a proxy.
Is non-English content underexposed?,"Non-English visibility is model-dependent; the highest Non-English Exposure@20 model is MPNet-content (8.8%), while language PACPG identifies weaker languages.","11, 13",moderate,Multilingual films complicate binary labels.
Are Spanish films visible?,Best Spain-origin exposure model is MPNet-content with Exposure@20=0.3%.,14,moderate,Support and metadata coverage limit fine claims.
Are Spanish-language films the same as Spain-origin films?,"No. The data show 227 films with both labels, 163 Spain-origin without Spanish-language metadata, and 315 Spanish-language without Spain-origin.","6, 14",strong,Depends on Wikidata language metadata.
Do models differ?,Yes. Best utility model is SVD (NDCG@20=0.1814); best Europe-exposure model is CLIP-image-content.,11,strong,Bounded candidate/user sample.
Does the best utility model also have best cultural visibility?,Not necessarily; the notebook reports utility and exposure separately and the best utility/exposure models can diverge.,11,strong,Metric choice matters.
Do MPNet/CLIP help?,"They shift visibility. In the multimodal comparison, highest Europe exposure is CLIP-image-content (32.8%).",16,moderate,Embedding availability and candidate sampling matter.
Is the gap just popularity bias?,"No single mechanism is enough. The mechanism table highlights long-tail concentration, language, US involvement and co-production; top diagnostic feature is log_train_interactions.",15,weak/moderate,"Diagnostic, not causal."
Does the gap compound in feedback loops?,The Schedl-inspired stress test reports dynamic drift: largest loss Popularity / Spanish-language (-1.4%); largest gain Popularity / Europe wide (+3.7%).,18,moderate,Lightweight offline stress test; no per-iteration model retraining.
Can re-ranking mitigate it?,"Yes, as a trade-off frontier: strict 80% NDCG retention selects lambda=0.0 (18.2% Europe exposure); maximum visibility occurs at lambda=0.4 (100.0%, NDCG@20=0.0196).",19,moderate,Does not solve fairness; can overcorrect.
What should platforms report?,"Catalogue share, ranked exposure, country/language exposure, missingness, feedback-loop drift, visibility-DNA slices and mitigation frontiers.",23,strong,Requires reliable metadata and audit access.
What can we not conclude?,"No legal compliance, discrimination, causal manipulation, or user identity claim.",24,strong,Offline proxy-label audit.
